conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,categories
1732589291052859575,Thu Dec 07 10:34:23 +0000 2023,0,@rbing67 @siregar_elang @mpoklela7 @prabowo @BANGSAygSUJUD @AndreasSolusi @OppungTp @icikiwir_08 @mas_veel @alextham878 @VaniaKiara3002 @adri_7i @iam_zelt @bengkeldodo @GUSDURians @SAGAINDONESIA_ @GusdurianBDG @ganjarmahfud @nahdiyinbersatu Terbukti 2 kali pilpres mayoritas rakyat tidak menghendaki Pk PS memimpin negeri artinya pilpres 2024 nanti Rakyat akan memilih Pemimpin yang memiliki kemampuan yg sejajar/melebihi Pk Jokowi bukan yg di bawah PK Jokowi ,1732710136781971906,,rbing67,in,,0,0,0,https://x.com/AbdulKh29602993/status/1732710136781971906,1537247620166721537,AbdulKh29602993,"kubu_03, kubu_02"
1732709399314288717,Thu Dec 07 10:31:36 +0000 2023,0,Pada Pilpres 2024 sesuai UU Pemilu ada 3 kali debat capres dan 2 kali debat cawapres. Saat debat capres cawapres turut mendampingi pasangannya. Demikian halnya saat debat cawapres. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732709436802949309,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732709436802949309,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732707976560222212,Thu Dec 07 10:25:55 +0000 2023,0,Milenial Legislatif R. Krisma Eka Putra dalam kesempatan itu mengatakan keberadaan RKB akan menjadi amunisi baru untuk pemenangan Prabowo-Gibran dalam Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732708007740637266,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732708007740637266,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732707732464304391,Thu Dec 07 10:24:56 +0000 2023,0,Berdasarkan hasil pengundian dan penetapan nomor urut peserta Pilpres 2024 Selasa 14 November 2023 #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732707759769161788,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732707759769161788,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732707732464304391,Thu Dec 07 10:24:56 +0000 2023,0,Komisi Pemilihan Umum (KPU) RI pada hari Senin 13 November 2023 menetapkan tiga bakal pasangan calon presiden dan wakil presiden menjadi peserta Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732707757441401193,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732707757441401193,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732707732464304391,Thu Dec 07 10:24:51 +0000 2023,0,dapat memenangkan Pemilu Presiden dan Wakil Presiden (Pilpres) 2024 hanya dalam satu putaran. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732707737803604105,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732707737803604105,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:22:05 +0000 2023,0,Oleh karena itu relawan Gaspoll Bro Jatim bersatu dan tulus memilih Prabowo-Gibran di Pilpres 2024. Tentu hal itu berdampak pada elektabilitas yang dimiliki Prabowo-Gibran dalam hasil survei. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732707043109425153,,golbachgoals,in,Jakarta Selatan ,0,0,0,https://x.com/golbachgoals/status/1732707043109425153,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:21:40 +0000 2023,0, Relawan Gaspoll Bro Jatim siap berada di garda terdepan memenangkan Bapak Prabowo Subianto dan Mas Gibran Rakabuming Raka dalam satu putaran pada Pilpres 2024 kata Habiburrahman di Surabaya Selasa (05/12/2023). #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy,1732706936477581629,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732706936477581629,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:21:39 +0000 2023,0,Koordinator Relawan Gaspoll Bro Jawa Timur Habiburrahman mengatakan pihaknya siap memenangkan Prabowo-Gibran dalam satu putaran di Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732706931733885433,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732706931733885433,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:21:38 +0000 2023,0,untuk memenangkan Calon Presiden (Capres) dan Calon Wakil Presiden (Cawapres) nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka pada Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732706926998499743,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732706926998499743,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:21:35 +0000 2023,0,Oleh karena itu lanjut Don Muzakir seluruh petani harus bersatu dan berjuang bersama dalam memenangkan Prabowo-Gibran di Pilpres 14 Februari 2024 mendatang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732706914117755387,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732706914117755387,909824927695589376,golbachgoals,"kubu_01, kubu_02"
1732706878701101418,Thu Dec 07 10:21:27 +0000 2023,0,mendeklarasikan dukungan kepada pasangan calon presiden dan calon wakil presiden nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka di Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732706883407065400,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1732706883407065400,909824927695589376,golbachgoals,"kubu_01, kubu_02"
